timestamp,temperature,humidity,motion,ldr,outTemperature,outHumidity,outLdr
2025-12-12 00:00:05.478838,22.6,39.0,0,4095,9.0,86.0,4027
2025-12-12 00:00:15.509999,22.6,39.0,0,4095,9.1,86.0,3979
2025-12-12 00:00:25.541201,22.6,39.0,0,4095,9.1,86.0,4005
2025-12-12 00:00:35.572449,22.6,39.0,0,4095,9.1,85.9,3824
2025-12-12 00:00:45.603448,22.6,39.0,0,4095,9.1,85.8,3999
2025-12-12 00:00:55.634610,22.6,39.0,0,4095,9.1,85.8,4000
2025-12-12 00:01:05.665856,22.6,39.0,0,4095,9.1,85.8,3971
2025-12-12 00:01:15.697036,22.6,39.0,0,4095,9.1,85.7,4013
2025-12-12 00:01:25.728104,22.6,39.0,0,4095,9.1,85.6,3981
2025-12-12 00:01:35.759267,22.6,39.0,0,4095,9.0,85.6,3997
2025-12-12 00:01:45.790440,22.6,39.0,0,4095,9.1,85.6,4012
2025-12-12 00:01:55.821601,22.6,39.0,0,4095,9.1,85.6,3999
2025-12-12 00:02:05.852715,22.6,39.0,0,4095,9.1,85.6,4080
2025-12-12 00:02:15.883892,22.6,39.0,0,4095,9.0,85.5,3967
2025-12-12 00:02:25.915055,22.6,39.0,0,4095,9.0,85.5,4013
2025-12-12 00:02:35.946211,22.6,39.0,0,4095,9.0,85.5,3980
2025-12-12 00:02:45.977391,22.6,39.0,0,4095,9.0,85.4,4039
2025-12-12 00:02:56.008616,22.6,39.0,0,4095,9.1,85.5,4019
2025-12-12 00:03:06.039686,22.6,39.0,0,4095,9.0,85.4,3969
2025-12-12 00:03:16.070931,22.6,39.0,0,4095,9.0,85.4,4003
2025-12-12 00:03:26.102022,22.6,39.0,0,4095,9.0,85.4,4006
2025-12-12 00:03:36.133186,22.6,39.0,0,4095,9.0,85.4,4003
2025-12-12 00:03:46.164430,22.6,39.0,0,4095,9.0,85.4,4037
2025-12-12 00:03:56.195519,22.6,39.0,0,4095,9.0,85.4,3991
2025-12-12 00:04:06.226666,22.6,39.0,0,4095,9.0,85.4,4020
2025-12-12 00:04:16.257825,22.6,39.0,0,4095,9.0,85.4,4020
2025-12-12 00:04:26.288956,22.6,39.0,0,4095,9.0,85.4,4020
2025-12-12 00:04:36.320116,22.6,39.0,0,4095,9.0,85.4,3969
2025-12-12 00:04:46.351321,22.6,39.0,0,4095,9.0,85.4,4005
2025-12-12 00:04:56.382454,22.6,39.0,0,4095,9.0,85.4,4015
2025-12-12 00:05:06.413614,22.6,39.0,0,4095,9.0,85.4,4048
2025-12-12 00:05:16.444774,22.6,39.0,0,4095,9.0,85.4,3985
2025-12-12 00:05:26.475948,22.6,39.0,0,4095,9.0,85.4,3985
2025-12-12 00:05:36.507068,22.6,39.0,0,4095,8.9,85.4,3984
2025-12-12 00:05:46.538227,22.6,39.0,0,4095,9.0,85.3,3953
2025-12-12 00:05:56.569473,22.6,39.0,0,4095,9.0,85.4,4048
2025-12-12 00:06:06.600560,22.6,39.0,0,4095,9.0,85.4,4016
2025-12-12 00:06:16.631720,22.6,39.0,0,4095,9.0,85.4,4026
2025-12-12 00:06:26.662923,22.6,39.0,0,4095,9.0,85.4,4017
2025-12-12 00:06:36.694058,22.6,39.0,0,4095,9.0,85.4,3988
2025-12-12 00:06:46.725216,22.6,39.0,0,4095,9.0,85.5,4013
2025-12-12 00:06:56.756376,22.6,39.0,0,4095,9.0,85.4,4048
2025-12-12 00:07:06.787552,22.6,39.0,0,4095,9.0,85.5,3971
2025-12-12 00:07:16.818714,22.6,39.0,0,4095,9.0,85.4,3995
2025-12-12 00:07:26.849871,22.6,39.0,0,4095,9.0,85.4,4048
2025-12-12 00:07:36.881007,22.6,39.0,0,4095,9.0,85.4,3991
2025-12-12 00:07:46.912164,22.6,39.0,0,4095,9.0,85.4,4011
2025-12-12 00:07:56.943325,22.6,39.0,0,4095,9.0,85.4,4011
