timestamp,temperature,humidity,motion,ldr,outTemperature,outHumidity,outLdr
2025-12-15 00:00:06.639488,22.2,39.0,0,4095,9.6,86.5,3920
2025-12-15 00:00:16.670618,22.2,39.0,0,4095,9.6,86.5,3887
2025-12-15 00:00:26.701817,22.2,39.0,0,4095,9.6,86.6,3877
2025-12-15 00:00:36.732929,22.2,39.0,0,4095,9.6,86.5,3902
2025-12-15 00:00:46.764100,22.2,39.0,0,4095,9.6,86.5,3884
2025-12-15 00:00:56.795257,22.2,39.0,0,4095,9.6,86.5,3888
2025-12-15 00:01:06.826456,22.2,39.0,0,4095,9.6,86.6,3808
2025-12-15 00:01:16.857701,22.2,39.0,0,4095,9.6,86.6,3920
2025-12-15 00:01:26.888783,22.2,39.0,0,4095,9.6,86.6,3933
2025-12-15 00:01:36.919938,22.2,39.0,0,4095,9.6,86.6,3914
2025-12-15 00:01:46.951135,22.2,39.0,0,4095,9.6,86.7,3903
2025-12-15 00:01:56.982266,22.2,39.0,0,4095,9.6,86.7,3964
2025-12-15 00:02:07.013419,22.2,39.0,0,4095,9.6,86.8,3824
2025-12-15 00:02:17.044575,22.2,39.0,0,4095,9.6,86.9,3879
2025-12-15 00:02:27.075705,22.2,39.0,0,4095,9.6,86.9,3925
2025-12-15 00:02:37.106859,22.2,39.0,0,4095,9.6,86.9,3959
2025-12-15 00:02:47.138101,22.2,39.0,0,4095,9.7,86.9,3892
2025-12-15 00:02:57.169347,22.2,39.0,0,4095,9.7,86.9,3958
2025-12-15 00:03:07.200428,22.2,39.0,0,4095,9.7,86.9,3912
2025-12-15 00:03:17.231587,22.2,39.0,0,4095,9.7,86.9,3913
2025-12-15 00:03:27.262740,22.2,39.0,0,4095,9.7,86.9,3900
2025-12-15 00:03:37.293820,22.2,39.0,0,4095,9.7,86.8,3882
2025-12-15 00:03:47.324976,22.2,39.0,0,4095,9.7,86.8,3878
2025-12-15 00:03:57.356268,22.2,39.0,0,4095,9.7,86.7,3899
2025-12-15 00:04:07.387353,22.2,39.0,0,4095,9.7,86.6,3850
2025-12-15 00:04:17.418418,22.2,39.0,0,4095,9.7,86.4,3935
2025-12-15 00:04:27.449618,22.2,39.0,0,4095,9.7,86.4,3936
2025-12-15 00:04:37.480993,22.2,39.0,0,4095,9.7,86.3,3915
2025-12-15 00:04:47.511901,22.2,39.0,0,4095,9.7,86.4,4001
2025-12-15 00:04:57.543057,22.2,39.0,0,4095,9.7,86.4,3895
2025-12-15 00:05:07.574229,22.2,39.0,0,4095,9.7,86.4,3923
2025-12-15 00:05:17.605384,22.2,39.0,0,4095,9.7,86.4,3919
2025-12-15 00:05:27.636540,22.2,39.0,0,4095,9.7,86.4,3896
2025-12-15 00:05:37.667749,22.2,39.0,0,4095,9.7,86.4,3969
2025-12-15 00:05:47.698957,22.2,39.0,0,4095,9.8,86.5,3911
2025-12-15 00:05:57.730068,22.2,39.0,0,4095,9.8,86.4,3951
2025-12-15 00:06:07.761222,22.2,39.0,0,4095,9.8,86.4,3870
2025-12-15 00:06:17.792395,22.2,39.0,0,4095,9.8,86.5,3925
2025-12-15 00:06:27.823550,22.2,39.0,0,4095,9.8,86.4,3925
2025-12-15 00:06:37.854749,22.2,39.0,0,4095,9.7,86.2,3885
