timestamp,temperature,humidity,motion,ldr,outTemperature,outHumidity,outLdr
2025-12-24 00:00:00,23.0,41.0,0,4095,10.6,89.12,3968
2025-12-24 00:01:00,23.0,41.0,0,4095,10.58,88.87,3966
2025-12-24 00:02:00,23.0,41.0,0,4095,10.48,88.78,3990
2025-12-24 00:03:00,23.0,41.0,0,4095,10.42,88.95,4009
2025-12-24 00:04:00,23.0,41.0,0,4095,10.4,89.17,3987
2025-12-24 00:05:00,23.0,41.0,0,4095,10.4,89.2,3980
2025-12-24 00:06:00,23.0,41.0,0,4095,10.45,89.15,3995
2025-12-24 00:07:00,23.0,41.0,0,4095,10.5,89.08,3968
2025-12-24 00:08:00,23.0,41.0,0,4095,10.5,88.73,3972
2025-12-24 00:09:00,23.0,41.0,0,4095,10.5,88.68,3984
2025-12-24 00:10:00,23.0,41.0,0,4095,10.53,88.73,3976
2025-12-24 00:11:00,23.0,41.0,0,4095,10.55,88.8,4014
2025-12-24 00:12:00,23.0,41.0,0,4095,10.6,89.02,3964
2025-12-24 00:13:00,23.0,41.0,0,4095,10.53,89.03,3981
2025-12-24 00:14:00,23.0,41.0,0,4095,10.5,89.13,3960
2025-12-24 00:15:00,23.0,41.0,0,4095,10.5,89.33,3982
2025-12-24 00:16:00,23.0,41.0,0,4095,10.5,89.35,3960
2025-12-24 00:17:00,23.0,41.0,0,4095,10.4,89.4,3952
2025-12-24 00:18:00,23.0,41.0,0,4095,10.4,89.55,3964
2025-12-24 00:19:00,23.0,41.0,0,4095,10.45,89.8,3981
2025-12-24 00:20:00,23.0,41.0,0,4095,10.5,89.92,3973
2025-12-24 00:21:00,23.0,41.0,0,4095,10.5,90.08,3958
2025-12-24 00:22:00,23.0,41.0,0,4095,10.5,90.17,3970
2025-12-24 00:23:00,23.0,41.0,0,4095,10.5,90.08,3975
2025-12-24 00:24:00,23.0,41.0,0,4095,10.5,90.15,3968
2025-12-24 00:25:00,23.0,41.0,0,4095,10.5,90.17,3966
2025-12-24 00:26:00,23.0,41.0,0,4095,10.5,90.02,3967
2025-12-24 00:27:00,23.0,41.0,0,4095,10.5,90.1,3980
2025-12-24 00:28:00,23.0,41.0,0,4095,10.5,90.28,3992
